"Rambo" (1986)						1986-1986
"Ramdam" (2001) {Lira bien qui lira le dernier (#1.66)}	2002
"Ramdam" (2001) {Livre ouvert (#5.58)}			2006
"Ramdam" (2001) {Lâcher le morceau (#4.83)}		2005
"Ramdam" (2001) {Ma mère est plus forte que ton père! (#2.77)}	2003
"Ramdam" (2001) {Mal de mère (#5.11)}			2005
"Ramdam" (2001) {Mal de soeur (#5.85)}			2006
"Ramdam" (2001) {Maladiction (#2.50)}			2003
"Ramdam" (2001) {Maman, je te présente JF! (#4.94)}	2005
"Ramdam" (2001) {Manolo et le pot au lait (#2.20)}	2002
"Ramdam" (2001) {Manolo se pique! (#6.61)}		2007
"Ramdam" (2001) {Manolo sous haute surveillance (#3.79)}	2004
"Ramdam" (2001) {Manolo «enchanté» (#4.10)}		2004
"Ramdam" (2001) {Marche avec nous! (#2.39)}		2002
"Ramdam" (2001) {Marthe et mystère (#6.1)}		2006
"Ramdam" (2001) {Maudite boisson! (#4.18)}		2004
"Ramdam" (2001) {Mauvais coups et bonnes leçons! (#3.25)}	2003
"Ramdam" (2001) {Mauvais tour (#1.48)}			2001
